t=2025-11-28T17:47:12-0500 lvl=info msg="no configuration paths supplied"
t=2025-11-28T17:47:12-0500 lvl=info msg="using configuration at default config path" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-28T17:47:12-0500 lvl=info msg="open config file" path="/Users/bigdaddy/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-28T17:47:12-0500 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-11-28T17:47:12-0500 lvl=info msg="client session established" obj=tunnels.session
t=2025-11-28T17:47:12-0500 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-11-28T17:47:12-0500 lvl=info msg="update available" obj=updater
t=2025-11-28T17:47:12-0500 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3050 url=https://juliane-unfractured-affirmably.ngrok-free.dev
t=2025-11-28T17:47:17-0500 lvl=info msg=start pg=/api/tunnels id=0499f7a4e487201c
t=2025-11-28T17:47:17-0500 lvl=info msg=end pg=/api/tunnels id=0499f7a4e487201c status=200 dur=687.75µs
t=2025-11-28T17:48:06-0500 lvl=info msg="join connections" obj=join id=19e9ebb121fc l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=b3e6f32d47a3 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=27f1e5d0932a l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=4b76c1c17d72 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=377ae8441407 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=7227a370d9c0 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=737003e69655 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=23adc859b99b l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=480ade518d05 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=b43327d63e0f l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=03c5af87dd75 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=7a2644e9379e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=f124025522e7 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=ea2e4b9c2914 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=8876ff4772a1 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=751f765f0ba9 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=14502e19d103 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=245c2dbf82e2 l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=7ed522b3b91e l=[::1]:3050 r=99.131.53.219:52406
t=2025-11-28T17:48:08-0500 lvl=info msg="join connections" obj=join id=3ae549f651c0 l=[::1]:3050 r=99.131.53.219:52406
